sample_name,dataset,SUPER,SUB
NA19350,GnomAD,AFR,LWK
NA19351,GnomAD,AFR,LWK
NA19355,GnomAD,AFR,LWK
NA19360,GnomAD,AFR,LWK
NA19372,GnomAD,AFR,LWK
NA19374,GnomAD,AFR,LWK
NA19375,GnomAD,AFR,LWK
NA19376,GnomAD,AFR,LWK
NA19377,GnomAD,AFR,LWK
NA19378,GnomAD,AFR,LWK
NA19379,GnomAD,AFR,LWK
NA19380,GnomAD,AFR,LWK
NA19383,GnomAD,AFR,LWK
NA19384,GnomAD,AFR,LWK
NA19385,GnomAD,AFR,LWK
NA19390,GnomAD,AFR,LWK
NA19391,GnomAD,AFR,LWK
NA19393,GnomAD,AFR,LWK
NA19394,GnomAD,AFR,LWK
NA19397,GnomAD,AFR,LWK
NA19399,GnomAD,AFR,LWK
NA19401,GnomAD,AFR,LWK
NA19403,GnomAD,AFR,LWK
NA19404,GnomAD,AFR,LWK
NA19428,GnomAD,AFR,LWK
NA19429,GnomAD,AFR,LWK
NA19430,GnomAD,AFR,LWK
NA19431,GnomAD,AFR,LWK
NA19435,GnomAD,AFR,LWK
NA19436,GnomAD,AFR,LWK
NA19437,GnomAD,AFR,LWK
NA19438,GnomAD,AFR,LWK
NA19439,GnomAD,AFR,LWK
NA19440,GnomAD,AFR,LWK
NA19443,GnomAD,AFR,LWK
NA19445,GnomAD,AFR,LWK
NA19446,GnomAD,AFR,LWK
NA19448,GnomAD,AFR,LWK
NA19449,GnomAD,AFR,LWK
NA19451,GnomAD,AFR,LWK
NA19452,GnomAD,AFR,LWK
NA19454,GnomAD,AFR,LWK
NA19455,GnomAD,AFR,LWK
NA19456,GnomAD,AFR,LWK
NA19457,GnomAD,AFR,LWK
NA19461,GnomAD,AFR,LWK
NA19462,GnomAD,AFR,LWK
NA19463,GnomAD,AFR,LWK
NA19466,GnomAD,AFR,LWK
NA19467,GnomAD,AFR,LWK
NA19468,GnomAD,AFR,LWK
NA19471,GnomAD,AFR,LWK
NA19472,GnomAD,AFR,LWK
NA19473,GnomAD,AFR,LWK
NA19474,GnomAD,AFR,LWK
